Date,META,GOOGL,AMD,QCOM,NVDA,AMZN,MSFT,MU,INTC,TXN,XOM,CVX
1962-01-02,,,,,,,,,,,0.0881553068757057,0.3051746189594269
1962-01-03,,,,,,,,,,,0.0894645452499389,0.3044859170913696
1962-01-04,,,,,,,,,,,0.0896827429533004,0.3017305433750152
1962-01-05,,,,,,,,,,,0.0877189338207244,0.2941524386405945
1962-01-08,,,,,,,,,,,0.0875006839632988,0.2927748262882232
1962-01-09,,,,,,,,,,,0.0872824639081955,0.2969081699848175
1962-01-10,,,,,,,,,,,0.0868460983037948,0.2969081699848175
1962-01-11,,,,,,,,,,,0.0877189338207244,0.3044859170913696
1962-01-12,,,,,,,,,,,0.0890281349420547,0.3037970960140228
1962-01-15,,,,,,,,,,,0.0890281349420547,0.2989748120307922
1962-01-16,,,,,,,,,,,0.0883735120296478,0.2996639609336853
1962-01-17,,,,,,,,,,,0.0879371389746666,0.2975971102714538
1962-01-18,,,,,,,,,,,0.0881553068757057,0.3017305433750152
1962-01-19,,,,,,,,,,,0.0888099446892738,0.3003527820110321
1962-01-22,,,,,,,,,,,0.0890281349420547,0.3017305433750152
1962-01-23,,,,,,,,,,,0.0883735120296478,0.2996639609336853
1962-01-24,,,,,,,,,,,0.0883735120296478,0.2982859015464782
1962-01-25,,,,,,,,,,,0.0885917991399765,0.2989748120307922
1962-01-26,,,,,,,,,,,0.0890281349420547,0.3010415434837341
1962-01-29,,,,,,,,,,,0.0903374403715133,0.2989748120307922
1962-01-30,,,,,,,,,,,0.0912102088332176,0.3003527820110321
1962-01-31,,,,,,,,,,,0.0925195217132568,0.3010478019714355
1962-02-01,,,,,,,,,,,0.0942651182413101,0.3080005347728729
1962-02-02,,,,,,,,,,,0.0962289124727249,0.3226011991500854
1962-02-05,,,,,,,,,,,0.0971017330884933,0.3170388042926788
1962-02-06,,,,,,,,,,,0.0957925990223884,0.3142578601837158
1962-02-07,,,,,,,,,,,0.0966309159994125,0.3205153048038482
1962-02-08,,,,,,,,,,,0.0966309159994125,0.3219059109687805
1962-02-09,,,,,,,,,,,0.0955277606844902,0.3246867060661316
1962-02-12,,,,,,,,,,,0.0957484990358352,0.3281629681587219
1962-02-13,,,,,,,,,,,0.0950865522027015,0.3274677097797394
1962-02-14,,,,,,,,,,,0.0961897000670433,0.3267724215984344
1962-02-15,,,,,,,,,,,0.0964102372527122,0.3281629681587219
1962-02-16,,,,,,,,,,,0.0966309159994125,0.3309440016746521
1962-02-19,,,,,,,,,,,0.0981751829385757,0.3316392302513122
1962-02-20,,,,,,,,,,,0.0986164584755897,0.3316392302513122
1962-02-21,,,,,,,,,,,0.0970720946788787,0.3288582563400268
1962-02-23,,,,,,,,,,,0.0972926765680313,0.3274677097797394
1962-02-26,,,,,,,,,,,0.0966309159994125,0.3253819644451141
1962-02-27,,,,,,,,,,,0.0975133851170539,0.3281629681587219
1962-02-28,,,,,,,,,,,0.0977339968085289,0.3253819644451141
1962-03-01,,,,,,,,,,,0.098395898938179,0.3267724215984344
1962-03-02,,,,,,,,,,,0.0975133851170539,0.3267724215984344
1962-03-05,,,,,,,,,,,0.0970720946788787,0.3267724215984344
1962-03-06,,,,,,,,,,,0.0968515500426292,0.3239913284778595
1962-03-07,,,,,,,,,,,0.0964102372527122,0.3232964277267456
1962-03-08,,,,,,,,,,,0.0948659852147102,0.3226011991500854
1962-03-09,,,,,,,,,,,0.0955277606844902,0.3226011991500854
1962-03-12,,,,,,,,,,,0.0948659852147102,0.3253819644451141
1962-03-13,,,,,,,,,,,0.0950865522027015,0.3239913284778595
1962-03-14,,,,,,,,,,,0.0957484990358352,0.3246867060661316
1962-03-15,,,,,,,,,,,0.0972926765680313,0.3267724215984344
1962-03-16,,,,,,,,,,,0.0968515500426292,0.3288582563400268
1962-03-19,,,,,,,,,,,0.0970720946788787,0.3302487432956695
1962-03-20,,,,,,,,,,,0.0959690511226654,0.3309440016746521
1962-03-21,,,,,,,,,,,0.0957484990358352,0.3295534551143646
1962-03-22,,,,,,,,,,,0.0955277606844902,0.3274677097797394
1962-03-23,,,,,,,,,,,0.0957484990358352,0.3295534551143646
1962-03-26,,,,,,,,,,,0.0957484990358352,0.3232964277267456
1962-03-27,,,,,,,,,,,0.0957484990358352,0.3246867060661316
1962-03-28,,,,,,,,,,,0.0966309159994125,0.3274677097797394
1962-03-29,,,,,,,,,,,0.0966309159994125,0.326077401638031
1962-03-30,,,,,,,,,,,0.0964102372527122,0.3274677097797394
1962-04-02,,,,,,,,,,,0.0964102372527122,0.3246867060661316
1962-04-03,,,,,,,,,,,0.0950865522027015,0.3226011991500854
